date,close,N_price
2018/4/23,14970,14.97
2018/4/24,14315,14.315
2018/4/25,14330,14.33
2018/4/26,14280,14.28
2018/4/27,14400,14.4
2018/5/2,14350,14.35
2018/5/3,14490,14.49
2018/5/4,14515,14.515
2018/5/7,14600,14.6
2018/5/8,14615,14.615
2018/5/9,14530,14.53
2018/5/10,14520,14.52
2018/5/11,14555,14.555
2018/5/14,14515,14.515
2018/5/15,14595,14.595
2018/5/16,14725,14.725
2018/5/17,14815,14.815
2018/5/18,14755,14.755
2018/5/21,14690,14.69
2018/5/22,14540,14.54
2018/5/23,14535,14.535
2018/5/24,14675,14.675
2018/5/25,14755,14.755
2018/5/28,14735,14.735
2018/5/29,14675,14.675
2018/5/30,14625,14.625
2018/5/31,14525,14.525
2018/6/1,14595,14.595
2018/6/4,14580,14.58
2018/6/5,14585,14.585
2018/6/6,14800,14.8
2018/6/7,14920,14.92
2018/6/8,14740,14.74
2018/6/11,14730,14.73
2018/6/12,14710,14.71
2018/6/13,14545,14.545
2018/6/14,14490,14.49
2018/6/15,13800,13.8
2018/6/19,14030,14.03
2018/6/20,14140,14.14
2018/6/21,14130,14.13
2018/6/22,14155,14.155
2018/6/25,14065,14.065
2018/6/26,13970,13.97
2018/6/27,14105,14.105
2018/6/28,14110,14.11
2018/6/29,14100,14.1
2018/7/2,13930,13.93
2018/7/3,13940,13.94
2018/7/4,13900,13.9
2018/7/5,13845,13.845
2018/7/6,13945,13.945
2018/7/9,14035,14.035
2018/7/10,14030,14.03
2018/7/11,13880,13.88
2018/7/12,13990,13.99
2018/7/13,13900,13.9
2018/7/16,13960,13.96
2018/7/17,14000,14
2018/7/18,13950,13.95
2018/7/19,13995,13.995
2018/7/20,13975,13.975
2018/7/23,14175,14.175
2018/7/24,14260,14.26
2018/7/25,14295,14.295
2018/7/26,14250,14.25
2018/7/27,14310,14.31
2018/7/30,14340,14.34
2018/7/31,14450,14.45
2018/8/1,14365,14.365
2018/8/2,14240,14.24
2018/8/3,14325,14.325
2018/8/6,14320,14.32
2018/8/7,14350,14.35
2018/8/8,14360,14.36
2018/8/9,14670,14.67
2018/8/10,14485,14.485
2018/8/13,14560,14.56
2018/8/14,14555,14.555
2018/8/15,14450,14.45
2018/8/16,14370,14.37
2018/8/17,14340,14.34
2018/8/20,14385,14.385
2018/8/21,14625,14.625
2018/8/22,14600,14.6
2018/8/23,14570,14.57
2018/8/24,14735,14.735
2018/8/27,14690,14.69
2018/8/28,14905,14.905
2018/8/29,14820,14.82
2018/8/30,14890,14.89
2018/8/31,14860,14.86
2018/9/3,14785,14.785
2018/9/4,14710,14.71
2018/9/5,14555,14.555
2018/9/6,14590,14.59
2018/9/7,14570,14.57
2018/9/10,14545,14.545
2018/9/11,14620,14.62
2018/9/12,14470,14.47
2018/9/13,14445,14.445
